Identifiant;Date (AAAA/MM/JJ);Heure;Nom;Région épicentrale;Choc;X RGF93/L93;Y RGF93/L93;Latitude en WGS 84;Longitude en WGS 84;Intensité épicentrale;Qualité intensité épicentrale
590003;1000/03/29;;HAINAUT (CHARLEROI ?);BELGIQUE;;812500.08;7045867.80;50.50;4.58;6;ARBITRAIRE
1100026;1013/11/18;12 h;PAYS DE LIEGE (LIEGE ?);BELGIQUE;;882985.65;7064446.42;50.65;5.58;;INFORMATION ISOLÉE
160001;1014/;;ANGOUMOIS (ANGOULEME);CHARENTES;;478075.43;6509611.52;45.65;0.15;7;INFORMATION ISOLÉE
1110203;1021/05/12;16 h;SOUABE (W. MEMMINGEN ?);ALLEMAGNE;;1252319.03;6792581.47;48.00;10.42;;
1100027;1026/02/14;;FLANDRES (GAND ?);BELGIQUE;;751538.74;7106278.76;51.05;3.73;;INFORMATION ISOLÉE
210035;1076/04/22;;COTE DIJONNAISE (DIJON ?);BOURGOGNE;;853583.12;6692682.34;47.32;5.03;;
580001;1079/07/17;;PUISAYE ?;NIVERNAIS;;716280.87;6722202.41;47.60;3.22;6;ARBITRAIRE
1110142;1080/12/01;;TAUNUS (MAYENCE);ALLEMAGNE;;1077669.89;7001654.66;50.00;8.27;6.5;INFORMATION ISOLÉE
1100006;1081/03/27;19 h;HAINAUT (CHARLEROI ?);BELGIQUE;;790270.31;7028754.47;50.35;4.27;6;ARBITRAIRE
490005;1083/03/21;16 h;LOUDUNOIS ?;POITOU;;464575.03;6662003.94;47.02;-0.10;;
1150107;1089/08/11;9 h;"""ANGLETERRE""";GRANDE-BRETAGNE;;564969.13;7325566.59;53.00;1.00;;INFORMATION ISOLÉE
500003;1091/11/02;;BOCAGE NORMAND (COUTANCES ?);NORMANDIE;;362305.24;6865385.89;48.80;-1.60;;
790002;1097/10/13;;PLAINES DU HAUT-POITOU (POITIERS ?);POITOU;;497120.83;6612659.32;46.58;0.35;;
